brand,milage,fuel_type,transmission,accident,clean_title,price,Age,price_category,Horsepower,Engine_Displacement,base_model
3,11322.0,3,1,0,0,119900.0,2,2,332.2838386995936,4.0,26
53,50361.0,3,1,0,0,65998.0,8,2,332.2838386995936,5.7,482
36,115000.0,3,1,1,1,36000.0,11,1,429.0,4.6,391
43,28500.0,3,2,0,1,63500.0,19,2,355.0,3.8,436
36,51700.0,3,1,0,1,32000.0,6,1,375.0,2.0,368
14,148949.0,3,1,0,1,3900.0,16,0,263.0,3.5,206
4,39300.0,3,1,1,1,31750.0,6,1,320.0,3.0,55
17,82323.0,3,2,0,1,28500.0,16,1,237.0,2.2,238
0,3574.0,3,3,0,0,34998.0,1,1,332.2838386995936,1.5,1
36,46000.0,3,1,0,1,18853.0,20,0,302.0,5.0,391
36,123112.0,3,1,1,1,104999.0,17,2,382.0,5.5,373
20,37100.0,3,2,0,1,16900.0,17,0,306.0,3.5,254
54,89000.0,3,2,0,1,14500.0,8,0,210.0,2.0,502
11,1240.0,3,1,0,0,53900.0,2,2,332.2838386995936,6.4,161
28,67073.0,3,1,1,1,47999.0,5,1,450.0,3.5,334
32,28700.0,3,1,0,0,24900.0,9,1,404.0,3.0,345
14,98995.0,3,1,0,0,34998.0,6,1,332.2838386995936,3.5,192
54,123815.0,3,1,0,1,5000.0,12,0,283.0,3.6,507
6,6330.0,3,1,0,1,1950995.0,13,2,332.2838386995936,8.0,98
53,61341.0,3,1,1,0,34084.0,4,1,332.2838386995936,3.5,481
17,96473.0,3,3,0,0,15599.0,8,0,332.2838386995936,2.0,227
22,66107.0,3,1,0,0,31331.0,7,1,332.2838386995936,3.6,289
26,114287.0,3,1,0,1,9900.0,16,0,400.0,4.2,308
0,75000.0,3,1,0,1,14500.0,9,0,150.0,2.0,0
41,12172.0,2,1,0,0,35999.0,3,1,332.2838386995936,0.0,429
4,70582.0,3,1,1,1,35000.0,8,1,300.0,3.0,88
43,33088.0,3,1,0,1,49750.0,10,1,325.0,3.4,440
28,1850.0,5,3,0,1,49000.0,3,1,266.0,2.5,325
8,94155.0,3,1,0,1,10500.0,16,0,275.0,4.6,117
8,25000.0,3,1,0,1,17999.0,8,0,335.0,3.6,109
15,99500.0,3,1,0,1,27995.0,8,1,355.0,5.3,216
20,158564.0,3,1,0,1,8750.0,15,0,328.0,3.7,255
14,20000.0,3,1,0,1,78499.0,1,2,310.0,3.5,210
8,46711.0,3,1,1,1,20850.0,6,1,304.0,3.6,127
39,46496.0,3,1,0,1,41000.0,7,1,375.0,5.6,417
36,19800.0,3,1,0,1,53800.0,5,2,362.0,3.0,385
53,175000.0,3,1,1,1,37900.0,16,1,381.0,5.7,482
53,61500.0,3,1,0,1,63500.0,8,2,381.0,5.7,482
44,49750.0,3,1,0,1,65000.0,8,2,280.0,3.6,447
25,38800.0,3,1,0,1,100000.0,17,2,493.0,5.0,304
28,83765.0,3,1,0,1,8995.0,13,0,263.0,3.5,331
36,7388.0,2,1,0,1,105500.0,1,2,355.0,0.0,375
25,278.0,3,1,0,0,359991.0,1,2,332.2838386995936,5.2,305
1,1966.0,3,1,0,0,75900.0,2,2,332.2838386995936,2.9,12
9,50648.0,3,3,0,0,23995.0,3,1,332.2838386995936,1.2,148
20,60058.0,3,1,1,1,15000.0,11,0,328.0,3.7,255
32,54423.0,3,1,0,1,33950.0,7,1,424.0,3.0,348
53,24001.0,3,1,0,0,47498.0,2,1,332.2838386995936,3.5,481
39,14735.0,3,1,0,0,50998.0,2,2,332.2838386995936,5.6,408
3,2425.0,4,1,0,0,42998.0,1,1,332.2838386995936,2.0,22
28,64855.0,3,1,0,1,46995.0,5,1,450.0,3.5,334
36,16238.0,2,1,0,1,62479.0,2,2,329.0,0.0,375
44,18051.0,3,1,0,1,47995.0,2,1,332.2838386995936,5.7,444
28,36524.0,3,1,0,1,14900.0,20,0,239.0,4.6,335
0,14896.0,3,3,0,0,39998.0,2,1,332.2838386995936,2.0,9
53,14048.0,4,3,0,0,29999.0,2,1,332.2838386995936,2.5,475
36,80581.0,3,1,0,1,26000.0,10,1,402.0,4.7,374
34,81400.0,3,2,1,1,11000.0,17,0,166.0,2.0,358
43,6700.0,3,1,0,1,63000.0,5,2,300.0,2.0,435
14,143000.0,3,1,0,1,22500.0,9,1,275.0,3.7,210
24,87842.0,3,1,0,1,18688.0,7,0,332.2838386995936,2.0,300
20,116451.0,3,2,0,1,16500.0,14,0,328.0,3.7,255
39,53677.0,3,1,0,1,27900.0,5,1,390.0,5.6,424
3,12000.0,4,1,0,1,77500.0,3,2,444.0,2.9,31
26,20034.0,3,1,0,0,43998.0,5,1,332.2838386995936,3.0,308
14,32000.0,0,1,0,1,68000.0,4,2,210.0,2.0,210
20,70312.0,3,1,0,1,19995.0,10,0,330.0,3.7,261
22,8794.0,3,1,0,1,54000.0,2,2,285.0,3.6,282
28,156000.0,3,1,1,1,5900.0,14,0,265.0,3.5,330
43,25568.0,3,2,0,1,134999.0,4,2,332.2838386995936,3.0,436
36,67100.0,3,1,1,1,34250.0,6,1,362.0,3.0,368
43,52000.0,3,1,1,1,37000.0,10,1,275.0,2.7,440
0,137200.0,3,1,0,1,12000.0,13,0,300.0,3.7,2
54,36000.0,3,1,1,1,32000.0,6,1,292.0,2.0,502
24,15500.0,3,3,1,1,24500.0,1,1,147.0,2.0,292
4,10906.0,3,1,0,0,96998.0,4,2,332.2838386995936,4.4,81
28,49814.0,3,1,0,0,26545.0,5,1,332.2838386995936,2.0,327
4,846.0,5,1,0,1,86999.0,9,2,357.0,1.5,93
53,67039.0,3,1,0,0,34645.0,3,1,332.2838386995936,3.5,481
34,2636.0,3,1,0,0,28535.0,1,1,332.2838386995936,2.5,352
43,50166.0,3,1,1,1,43550.0,6,1,332.2838386995936,3.6,439
28,37375.0,3,1,0,1,27500.0,7,1,400.0,3.0,331
52,21600.0,2,1,0,1,31000.0,3,1,271.0,0.0,470
43,9500.0,3,1,1,1,69000.0,5,2,350.0,2.5,435
9,143095.0,3,1,0,1,16000.0,19,0,400.0,6.0,135
43,5856.0,3,2,0,1,45000.0,17,1,295.0,3.4,440
46,2958.0,3,1,0,1,488880.0,11,2,332.2838386995936,6.8,452
3,28927.0,3,1,0,0,74900.0,2,2,332.2838386995936,4.0,34
17,14442.0,3,1,0,1,38500.0,3,1,280.0,3.5,237
36,64000.0,3,1,0,1,12995.0,19,0,302.0,5.0,371
27,154000.0,3,1,1,1,10000.0,20,0,235.0,4.7,312
27,54000.0,3,1,0,1,27000.0,9,1,235.0,2.0,319
32,25721.0,3,1,0,1,52645.0,4,2,332.2838386995936,3.0,345
26,20927.0,3,1,0,0,35998.0,4,1,332.2838386995936,2.0,308
2,2353.0,3,1,0,1,159500.0,3,2,332.2838386995936,4.0,13
3,9325.0,3,1,0,0,33610.0,2,1,332.2838386995936,2.0,20
14,61001.0,3,1,1,1,28616.0,4,1,332.2838386995936,2.3,193
36,71962.0,3,1,0,1,46900.0,6,1,469.0,4.0,368
50,5800.0,3,2,0,1,29990.0,1,1,228.0,2.4,461
4,40080.0,3,1,0,1,28499.0,8,1,315.0,3.0,63
24,57000.0,3,1,1,1,36500.0,4,1,365.0,3.3,301
9,7624.0,2,1,0,1,31985.0,2,1,332.2838386995936,0.0,131
50,122000.0,3,2,1,1,9999.0,20,0,210.0,2.5,464
24,459.0,3,1,0,0,36998.0,1,1,332.2838386995936,2.5,300
4,62500.0,3,1,1,1,40500.0,8,1,425.0,3.0,75
19,72000.0,3,1,0,1,17500.0,11,0,429.0,5.0,243
36,8375.0,3,1,0,0,69900.0,4,2,332.2838386995936,0.0,368
50,77000.0,3,2,1,1,30000.0,10,1,305.0,2.5,465
36,19593.0,3,1,0,0,159998.0,5,2,332.2838386995936,4.0,368
34,35902.0,3,1,0,0,22966.0,4,1,332.2838386995936,2.5,360
19,800.0,3,1,0,1,9800.0,11,0,132.0,1.6,251
